index,LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Flag Codes
674,ARG,CROPYIELD,WHEAT,TONNE_HA,2016,2.638550322,
675,ARG,CROPYIELD,WHEAT,TONNE_HA,2017,2.663782817,
676,ARG,CROPYIELD,WHEAT,TONNE_HA,2018,2.684274241,
677,ARG,CROPYIELD,WHEAT,TONNE_HA,2019,2.70221829,
678,ARG,CROPYIELD,WHEAT,TONNE_HA,2020,2.72538127,
679,ARG,CROPYIELD,WHEAT,TONNE_HA,2021,2.743683462,
680,ARG,CROPYIELD,WHEAT,TONNE_HA,2022,2.765473958,
681,ARG,CROPYIELD,WHEAT,TONNE_HA,2023,2.786651466,
682,ARG,CROPYIELD,WHEAT,TONNE_HA,2024,2.808449774,
683,ARG,CROPYIELD,WHEAT,TONNE_HA,2025,2.831223585,
684,BGD,CROPYIELD,RICE,TONNE_HA,1990,1.711194515,
685,BGD,CROPYIELD,RICE,TONNE_HA,1991,1.780355096,
686,BGD,CROPYIELD,RICE,TONNE_HA,1992,1.802014112,
687,BGD,CROPYIELD,RICE,TONNE_HA,1993,1.839229703,
688,BGD,CROPYIELD,RICE,TONNE_HA,1994,1.700282812,
689,BGD,CROPYIELD,RICE,TONNE_HA,1995,1.779187202,
690,BGD,CROPYIELD,RICE,TONNE_HA,1996,1.855187654,
691,BGD,CROPYIELD,RICE,TONNE_HA,1997,1.837873936,
